name,grammar,hop,n_edges,n_pairs,hide_hop_token,schedule,attn,krylov_m,krylov_rho,krylov_beta,krylov_state_decay,n_layers,d_model,n_heads,d_ff,seed,steps_budget,solved_step,best_acc,best_eval_loss,final_acc,final_eval_loss,final_ppl,elapsed_s
path_h3_d2_krylov_m2_seed1,path,3,3,6,True,krylov>krylov,krylov,2,1.0,0.5,1.0,2,128,4,512,1,30000,250,1.0,0.657903943342321,1.0,0.657903943342321,1.9307411472903655,5.235203742980957
path_h3_d2_krylov_m2_seed2,path,3,3,6,True,krylov>krylov,krylov,2,1.0,0.5,1.0,2,128,4,512,2,30000,250,1.0,0.6576156195472268,1.0,0.6576156195472268,1.9301845489195673,5.22537636756897
path_h3_d2_krylov_m2_seed3,path,3,3,6,True,krylov>krylov,krylov,2,1.0,0.5,1.0,2,128,4,512,3,30000,250,1.0,0.660391482184915,1.0,0.660391482184915,1.9355499194133021,5.230130434036255
path_h3_d2_krylov_m3_seed1,path,3,3,6,True,krylov>krylov,krylov,3,1.0,0.5,1.0,2,128,4,512,1,30000,250,1.0,0.6579320318558637,1.0,0.6579320318558637,1.9307953797008788,7.115115642547607
path_h3_d2_krylov_m3_seed2,path,3,3,6,True,krylov>krylov,krylov,3,1.0,0.5,1.0,2,128,4,512,2,30000,250,1.0,0.6576284997603472,1.0,0.6576284997603472,1.9302094102680285,7.199049234390259
path_h3_d2_krylov_m3_seed3,path,3,3,6,True,krylov>krylov,krylov,3,1.0,0.5,1.0,2,128,4,512,3,30000,250,1.0,0.6604099161484662,1.0,0.6604099161484662,1.935585599598831,7.1115076541900635
path_h3_d2_krylov_then_softmax_m1_seed1,path,3,3,6,True,krylov>softmax,krylov,1,1.0,0.5,1.0,2,128,4,512,1,30000,250,1.0,0.6566188195172478,1.0,0.6566188195172478,1.9282614995104237,1.9668481349945068
path_h3_d2_krylov_then_softmax_m1_seed2,path,3,3,6,True,krylov>softmax,krylov,1,1.0,0.5,1.0,2,128,4,512,2,30000,250,1.0,0.6568077423993279,1.0,0.6568077423993279,1.9286258266440979,1.9634435176849365
path_h3_d2_krylov_then_softmax_m1_seed3,path,3,3,6,True,krylov>softmax,krylov,1,1.0,0.5,1.0,2,128,4,512,3,30000,250,1.0,0.658328603295719,1.0,0.658328603295719,1.9315612298517841,1.9668629169464111
path_h3_d2_krylov_then_softmax_m2_seed1,path,3,3,6,True,krylov>softmax,krylov,2,1.0,0.5,1.0,2,128,4,512,1,30000,250,1.0,0.6566009801976821,1.0,0.6566009801976821,1.928227100944152,2.9748616218566895
